city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon,continent
Taipei,Taiwan,25.0358333,121.5683333,6900273,306.61871337890625,33.46871337890627,1725438,1745,1950-08-07T06:00:00.000000000,24.99121284484864,121.48546600341795,Asia
New Taipei,Taiwan,25.0127778,121.465,3893740,306.61871337890625,33.46871337890627,1725438,1745,1950-08-07T06:00:00.000000000,24.99121284484864,121.48546600341795,Asia
Montpelier,United States of America,42.3226221,-111.2969123,2997,306.6180114746094,33.4680114746094,933459,7710,1952-08-21T21:00:00.000000000,42.28470993041992,248.6529998779297,North America
Happy Valley - Goose Bay,Canada,53.2999882,-60.2999992,7572,306.6175231933594,33.4675231933594,554012,57101,1969-07-17T18:00:00.000000000,53.32161712646485,299.7718505859375,North America
Nueva San Salvador,El Salvador,13.673997,-89.2899985,124694,306.6165771484375,33.46657714843752,2372898,3653,1951-04-02T18:00:00.000000000,13.743409156799316,270.5785217285156,North America
Kollam,India,8.9003727,76.5699926,394163,306.6133117675781,33.46331176757815,2671305,24033,1958-03-24T06:00:00.000000000,9.033391952514648,76.68685150146484,Asia
Concórdia,Brazil,-27.2300317,-52.0300131,55367,306.6119384765625,33.46193847656252,4988189,661,1950-03-24T18:00:00.000000000,-27.170473098754883,307.9844055175781,South America
Wuzhou,China,23.4800255,111.3200162,442315,306.6090087890625,33.45900878906252,1800438,22041,1957-07-18T06:00:00.000000000,23.58523750305176,111.33824920654295,Asia
Muconda,Angola,-10.5996256,21.31998,2324,306.5986022949219,33.4486022949219,4025809,4819,1951-08-26T12:00:00.000000000,-10.579964637756348,21.34920692443848,Africa
Seremban,Malaysia,2.7104922,101.9400203,372917,306.5970764160156,33.44707641601565,3108896,3497,1951-03-14T06:00:00.000000000,2.6362037658691406,101.90857696533205,Asia
Foumban,Cameroon,5.7303854,10.8999959,92673,306.59674072265625,33.44674072265627,2887310,396,1950-02-19T15:00:00.000000000,5.799648284912109,10.931780815124512,Africa
Villarica,Chile,-39.2800456,-72.2299945,31602,306.5932312011719,33.4432312011719,5546438,20413,1956-12-26T18:00:00.000000000,-39.261863708496094,287.8512268066406,South America
Uvira,Congo (Kinshasa),-3.3699894,29.1400195,170391,306.58795166015625,33.43795166015627,3532358,4946,1951-09-11T09:00:00.000000000,-3.268892765045166,29.22455596923828,Africa
Brusque,Brazil,-27.1299861,-48.9300214,88284,306.58648681640625,33.43648681640627,4984628,23412,1958-01-05T15:00:00.000000000,-27.100175857543945,311.1457214355469,South America
Cotuí,Dominican Republic,19.0590031,-70.1520026,41641,306.5858459472656,33.43584594726565,2053535,39957,1963-09-04T18:00:00.000000000,19.08611488342285,289.9012756347656,North America
Baoshan,China,25.119977,99.1500097,1000000,306.5857238769531,33.43572387695315,1728922,38978,1963-05-05T09:00:00.000000000,24.920913696289062,98.90322875976562,Asia
Ovalle,Chile,-30.60944653508504,-71.19949283690885,77138,306.5837097167969,33.4337097167969,5159144,19869,1956-10-19T18:00:00.000000000,-30.615114212036133,288.76324462890625,South America
Mikumi,Tanzania,-7.3996142,36.9800061,16780,306.5804748535156,33.43047485351565,3817765,35411,1962-02-13T12:00:00.000000000,-7.416520118713379,37.02289962768555,Africa
Sarasota,United States of America,27.3361208,-82.530787,589959,306.5802307128906,33.43023071289065,1599401,18717,1956-05-28T18:00:00.000000000,27.451669692993164,277.5503234863281,North America
Juan Aldama,Mexico,24.2904153,-103.3899789,14162,306.5776672363281,33.42766723632815,1760446,30294,1960-05-14T21:00:00.000000000,24.358522415161133,256.5671691894531,North America
Binjai,Indonesia,3.6203591,98.5000752,564979,306.57281494140625,33.42281494140627,3044353,13561,1954-08-23T06:00:00.000000000,3.5500876903533936,98.38735961914062,Asia
Ryazan,Russia,54.6199593,39.7199939,520173,306.5716552734375,33.42165527343752,513267,19075,1956-07-12T12:00:00.000000000,54.65729141235352,39.58580017089844,Europe
Banda Aceh,Indonesia,5.5499829,95.3200109,513698,306.56768798828125,33.41768798828127,2907699,1817,1950-08-16T06:00:00.000000000,5.518453121185303,95.44776153564452,Asia
Omutninsk,Russia,58.6589376,52.1591829,32800,306.5632629394531,33.41326293945315,406122,42378,1964-07-03T09:00:00.000000000,58.594024658203125,52.2838134765625,Europe
Alotau,Papua New Guinea,-10.3020727,150.4590743,11624,306.5622863769531,33.41228637695315,4013808,2664,1950-11-30T03:00:00.000000000,-10.369068145751951,150.39578247070312,Oceania
Wuppertal,Germany,51.25001,7.169991,776525,306.5616760253906,33.41167602539065,612727,25027,1958-07-26T12:00:00.000000000,51.353248596191406,6.985559463500977,Europe
