city_name,country,city_lat,city_lon,population,max_temp_ctrl,max_temp_ssp,temp_diff,timestamp_ctrl,timestamp_ssp,time_idx_ctrl,time_idx_ssp,cell_idx_ctrl,cell_idx_ssp,lat_ctrl,lon_ctrl,lat_ssp,lon_ssp
Jijiga,Ethiopia,9.3504228,42.7899873,56821,31.408746337890648,37.30898437500002,5.900238037109375,1960-05-31T12:00:00.000000000,2090-05-29T12:00:00.000000000,30427,30411,2652412,2652411,9.314586639404297,42.8125,9.314586639404297,42.734375
Buenos Aires,Argentina,-34.61071459139255,-58.43251268766426,12795000,39.3632751464844,45.26250610351565,5.89923095703125,1966-01-01T18:00:00.000000000,2082-01-09T18:00:00.000000000,46757,5917,5336742,5327186,-34.41124725341797,301.3584899902344,-34.20035171508789,301.1278076171875
Segezha,Russia,63.7547764,34.3243025,33354,28.926324462890648,34.82509765625002,5.898773193359375,1952-07-15T12:00:00.000000000,2084-08-01T12:00:00.000000000,7411,13395,285116,285116,63.725833892822266,34.28571319580078,63.725833892822266,34.28571319580078
Rimouski,Canada,48.4337478,-68.5166812,35584,29.225396728515648,35.12374267578127,5.898345947265625,1960-08-15T21:00:00.000000000,2085-08-09T21:00:00.000000000,31038,16382,711130,711130,48.40070343017578,291.4429626464844,48.40070343017578,291.4429626464844
Paulo Afonso,Brazil,-9.402966500322927,-38.22168873828767,85350,36.6406188964844,42.53884277343752,5.898223876953125,1951-11-02T18:00:00.000000000,2091-09-26T18:00:00.000000000,5365,34293,3951932,3956532,-9.384885787963867,321.8418884277344,-9.45518398284912,321.8086853027344
Moyo,Uganda,3.650409,31.720017,22434,37.55776367187502,43.4556823730469,5.897918701171875,1950-03-10T12:00:00.000000000,2090-02-18T12:00:00.000000000,547,29611,3038506,3038506,3.6203866004943848,31.6788330078125,3.6203866004943848,31.6788330078125
Kushiro,Japan,42.9749595,144.3746911,198566,30.532678222656276,36.43023071289065,5.8975524902343714,1952-08-05T03:00:00.000000000,2092-08-06T03:00:00.000000000,7576,36808,902861,902861,43.0579948425293,144.24107360839844,43.0579948425293,144.24107360839844
Champotón,Mexico,19.3504326,-90.7200029,26636,40.31801757812502,46.21553955078127,5.89752197265625,1960-05-17T21:00:00.000000000,2091-04-30T21:00:00.000000000,30318,33102,2041162,2041162,19.29701232910156,269.2871398925781,19.29701232910156,269.2871398925781
Gaoual,Guinea,11.7540001,-13.2129984,7461,40.7742858886719,46.6713806152344,5.8970947265625,1953-04-12T15:00:00.000000000,2091-03-18T15:00:00.000000000,9580,32756,2501880,2497408,11.704745292663574,346.7978515625,11.775043487548828,346.7860412597656
Lusanga,Congo (Kinshasa),-5.5829293,16.5166556,177,35.01555786132815,40.91250000000002,5.896942138671875,1955-09-12T12:00:00.000000000,2090-09-08T12:00:00.000000000,16643,31227,3693482,3693482,-5.588752269744873,16.580913543701172,-5.588752269744873,16.580913543701172
Cajabamba,Peru,-7.6196008,-78.0400017,13486,22.950738525390648,28.846734619140648,5.89599609375,1950-09-21T18:00:00.000000000,2090-09-07T18:00:00.000000000,2109,31221,3830395,3830395,-7.557117462158203,281.9286193847656,-7.557117462158203,281.9286193847656
Kimmirut,Canada,62.8500255,-69.8833161,385,19.5468688964844,25.442590332031276,5.895721435546875,1965-07-14T18:00:00.000000000,2083-08-04T21:00:00.000000000,45389,10494,304637,304637,62.88224792480469,290.0769348144531,62.88224792480469,290.0769348144531
Rio Verde,Mexico,21.9299909,-99.9800061,69613,41.26473388671877,47.15999755859377,5.895263671875,1960-05-12T21:00:00.000000000,2091-04-29T21:00:00.000000000,30278,33094,1890392,1890392,21.96836471557617,260.0,21.96836471557617,260.0
Kazan,Russia,55.7518879,49.1243989,1115000,34.72432861328127,40.61892089843752,5.89459228515625,1969-07-08T12:00:00.000000000,2092-07-15T12:00:00.000000000,57027,36635,485342,477491,55.64147567749024,49.2900619506836,55.92266845703125,49.14110565185547
Orlu,Nigeria,5.7837154,7.0333068,9351,37.03652343750002,42.93056640625002,5.89404296875,1956-02-24T15:00:00.000000000,2091-02-20T15:00:00.000000000,17964,32548,2887257,2887257,5.799648284912109,6.963394165039063,5.799648284912109,6.963394165039063
Port-Menier,Canada,49.8225777,-64.347995,263,19.168634033203148,25.062280273437523,5.893646240234375,1951-08-07T03:00:00.000000000,2090-08-06T03:00:00.000000000,4664,30960,664252,661949,49.806678771972656,295.625,49.8769760131836,295.6695556640625
Mubende,Uganda,0.5904407,31.3700126,18936,32.50838623046877,38.40178833007815,5.893402099609375,1957-03-23T12:00:00.000000000,2090-02-16T12:00:00.000000000,21107,29595,3254204,3259310,0.5975395441055298,31.316614151000977,0.5272407531738281,31.433046340942383
Cali,Colombia,3.401905,-76.5019123,2254000,28.652551269531276,34.5452819824219,5.8927307128906214,1950-08-17T18:00:00.000000000,2090-09-06T18:00:00.000000000,1829,31213,3071626,3071626,3.198593854904175,283.4382629394531,3.198593854904175,283.4382629394531
Merced,United States of America,37.3026184,-120.481933,96091,44.37539062500002,50.26656494140627,5.89117431640625,1954-08-04T00:00:00.000000000,2081-07-12T00:00:00.000000000,13407,4463,1137490,1137490,37.293495178222656,239.44297790527344,37.293495178222656,239.44297790527344
Tayshet,Russia,55.927709,97.9877034,52184,38.36995849609377,44.26113281250002,5.89117431640625,1959-08-12T06:00:00.000000000,2090-07-10T06:00:00.000000000,28081,30745,477756,477757,55.92266845703125,97.9141082763672,55.92266845703125,98.09815979003906
Phitsanulok,Thailand,16.8283126,100.2728869,164017,40.76027832031252,46.65126953125002,5.8909912109375,1951-04-21T09:00:00.000000000,2091-05-05T09:00:00.000000000,3802,33138,2183084,2187265,16.83655548095703,100.2488021850586,16.76625633239746,100.23900604248048
Sagaing,Myanmar,21.879999,95.9619966,78739,42.06878051757815,47.95940551757815,5.890625,1951-04-28T06:00:00.000000000,2083-05-19T09:00:00.000000000,3857,9874,1896403,1896403,21.827768325805664,96.00615692138672,21.827768325805664,96.00615692138672
Oyem,Gabon,1.6166313,11.5833134,43423,31.976495361328148,37.86654052734377,5.890045166015625,1951-04-08T12:00:00.000000000,2091-01-26T15:00:00.000000000,3699,32348,3177843,3177843,1.652021050453186,11.633624076843262,1.652021050453186,11.633624076843262
Chinsali,Zambia,-10.5496028,32.0599963,14015,33.41069946289065,39.29964599609377,5.888946533203125,1953-10-10T12:00:00.000000000,2092-09-30T12:00:00.000000000,11027,37251,4021404,4021404,-10.509665489196776,32.03524398803711,-10.509665489196776,32.03524398803711
Zamora,Mexico,19.9803683,-102.2800208,214947,35.8526550292969,41.74102172851565,5.88836669921875,1960-05-12T21:00:00.000000000,2091-04-28T21:00:00.000000000,30278,33086,1996824,1996825,20.07029914855957,257.6576538085937,20.07029914855957,257.74774169921875
Guayaramerín,Bolivia,-10.8299992,-65.4099974,36008,36.31246337890627,42.2006774902344,5.888214111328125,1951-09-24T18:00:00.000000000,2091-10-05T18:00:00.000000000,5053,34365,4047358,4047358,-10.861159324645996,294.5309753417969,-10.861159324645996,294.5309753417969
Oranjemund,Namibia,-28.5494861,16.4299943,8496,40.0191589355469,45.90715942382815,5.88800048828125,1951-04-01T12:00:00.000000000,2091-09-12T12:00:00.000000000,3643,34179,5052841,5056357,-28.50615119934082,16.484642028808594,-28.57644844055176,16.503416061401367
Omagh,United Kingdom,54.6000122,-7.3000043,21056,27.167596435546898,33.05452880859377,5.886932373046875,1963-08-18T15:00:00.000000000,2088-08-09T15:00:00.000000000,39820,25148,517063,517063,54.58699417114258,352.7362060546875,54.58699417114258,352.7362060546875
Chitungwiza,Zimbabwe,-18.0000008,31.1000032,340360,35.0070739746094,40.8939147949219,5.8868408203125,1953-10-10T12:00:00.000000000,2091-11-19T12:00:00.000000000,11027,34723,4484450,4488562,-18.031633377075195,30.992218017578125,-18.10193252563477,31.022396087646484
Mayumba,Gabon,-3.4166015,10.650037,3996,28.527673339843773,34.41402587890627,5.8863525390625,1969-04-22T12:00:00.000000000,2092-02-19T12:00:00.000000000,56411,35459,3542003,3542003,-3.4094903469085693,10.703883171081545,-3.4094903469085693,10.703883171081545
Nakhodka,Russia,42.8374485,132.8874336,159551,34.62676391601565,40.5128112792969,5.88604736328125,1956-07-05T03:00:00.000000000,2092-08-04T06:00:00.000000000,19016,36793,908160,908160,42.91739654541016,132.99703979492188,42.91739654541016,132.99703979492188
Sakhon Nakhon,Thailand,17.1679043,104.1478959,76237,39.06215820312502,44.94674072265627,5.88458251953125,1958-03-30T09:00:00.000000000,2091-03-25T09:00:00.000000000,24082,32810,2162284,2162284,17.18804931640625,104.19230651855467,17.18804931640625,104.19230651855467
Thung Song,Thailand,8.1539584,99.7286307,28223,34.6962829589844,40.5808044433594,5.884521484375,1951-04-17T06:00:00.000000000,2091-05-02T06:00:00.000000000,3769,33113,2732039,2732039,8.119507789611816,99.70059967041016,8.119507789611816,99.70059967041016
Seville,Spain,37.4050153,-5.9800074,1212045,45.5065856933594,51.3900085449219,5.8834228515625,1950-07-31T15:00:00.000000000,2090-08-07T15:00:00.000000000,1692,30972,1129415,1138451,37.50439453125,354.1278381347656,37.293495178222656,354.15118408203125
Kwinana,Australia,-32.23939,115.7702356,20086,42.42681274414065,48.30996093750002,5.883148193359375,1950-02-18T06:00:00.000000000,2082-12-10T06:00:00.000000000,385,8593,5237882,5237882,-32.302284240722656,115.85454559326172,-32.302284240722656,115.85454559326172
Djambala,Congo (Brazzaville),-2.5396008,14.7499934,9651,30.909936523437523,36.79277954101565,5.882843017578125,1950-02-18T12:00:00.000000000,2090-08-31T15:00:00.000000000,387,31164,3482421,3482421,-2.5659050941467285,14.78365421295166,-2.5659050941467285,14.78365421295166
Santiago,Peru,-14.1895874,-75.7399612,10449,34.11409912109377,39.99675903320315,5.882659912109375,1950-02-15T18:00:00.000000000,2091-01-26T18:00:00.000000000,365,32349,4259526,4259526,-14.23550033569336,284.3068542480469,-14.23550033569336,284.3068542480469
Abengourou,Ivory Coast,6.730376,-3.4900043,104020,37.8834167480469,43.76589355468752,5.882476806640625,1953-03-10T15:00:00.000000000,2091-02-24T15:00:00.000000000,9316,32580,2829735,2820226,6.713532447814941,356.5937805175781,6.854129791259766,356.51220703125
Gander,Canada,48.9499953,-54.5499884,3345,31.599023437500023,37.48067626953127,5.88165283203125,1952-07-11T18:00:00.000000000,2088-07-11T18:00:00.000000000,7381,24917,692268,692268,48.96309280395508,305.5101928710937,48.96309280395508,305.5101928710937
Aurora,United States of America,41.7653951,-88.2999956,350000,40.45925292968752,46.3406921386719,5.881439208984375,1950-07-16T21:00:00.000000000,2090-08-12T21:00:00.000000000,1574,31014,958392,958394,41.65201950073242,271.5606994628906,41.65201950073242,271.82080078125
